type,time,logId,sessionId
EndSession,2020-01-16T15:06:42.267Z,9c650f85-109a-479d-b6c3-1c44a0915c3d,406d2fe9-c11e-461e-8108-f965bd4ce5ea
EndSession,2020-01-16T15:13:06.124Z,376704ca-ecf7-4e65-adf3-7d488a35b69d,002ce471-df2c-4fbc-9092-7c4bdfe2d2ca
EndSession,2020-01-16T15:21:28.094Z,a3270f6f-8854-4f99-9eb5-add517c98ae9,e5463b5a-d9d5-49cb-989d-f97fa7161986
EndSession,2020-01-16T15:27:14.022Z,eb6c3789-e0cc-4375-a763-9eb070bdeab1,3d8aef7e-28ac-4c1d-9338-f59bed0dc42d
EndSession,2020-01-16T15:32:16.550Z,6697ab2d-83a4-4ecc-9925-ff7716e8145e,eee759e4-6bed-4b6c-9339-f23808ff2480
EndSession,2020-01-16T15:35:59.258Z,b41def4e-c081-4903-a191-2c06ee3a7559,61f81261-f5fb-4c32-b8c4-a84a5ec88b6a
EndSession,2020-01-16T15:44:39.361Z,2f8a466a-700b-4513-8e97-c0a49786f7ad,6540085f-8bbc-4352-96c5-9bd488308bc9
EndSession,2020-01-16T15:46:31.560Z,298cd6af-1117-4e0b-8748-db8c5504637a,89689395-8312-4c03-859c-c55c050bc6e4
EndSession,2020-01-16T15:48:50.309Z,ba6a2f23-e0cc-4d55-89c8-a5776d0d6648,cfa57dea-aa29-49bf-acb0-28eb7066b7d3
EndSession,2020-01-16T15:50:01.590Z,eb852a73-4dfb-48a8-b99d-c2195932c453,020a88b6-3975-451f-bbbf-504ac1672222
EndSession,2020-01-16T15:54:27.355Z,0619993b-9255-4176-84ef-929360a08a16,a37014b5-adec-4bba-aa0f-4bfa316e4a73
EndSession,2020-01-16T15:54:30.857Z,742972b0-67c0-475f-9047-f902897714f3,e9480216-2650-4037-86b9-4e8a0fdb5924
EndSession,2020-01-16T15:55:06.332Z,5acb05a8-df6e-4afa-8d3e-cc31e335611c,3b96b3d4-27f7-4f6d-a021-4148a9fec9ed
EndSession,2020-01-16T15:55:13.500Z,9c650f85-109a-479d-b6c3-1c44a0915c3d,7e36df33-ddde-4dca-8c0a-d97b30a578dd
EndSession,2020-01-16T15:57:21.364Z,0a3d5aba-cdbd-4f66-b5ad-f7d095fa9320,959dc8ed-946a-4390-8377-bdc5248c158d
EndSession,2020-01-16T16:01:15.780Z,f9827de1-0123-49fc-a8b5-9dec8af346c3,1149e0fc-1353-4515-94ae-015218597143
EndSession,2020-01-16T16:06:01.204Z,379cd913-1263-42de-968b-a4e1eb6f7673,4ef99d5c-1c52-4e4a-b01f-39a8cd9588d8
EndSession,2020-01-16T16:15:56.939Z,151b777e-744f-43bd-b03b-4c28440b4c44,7d406276-57f7-4b6c-ba46-10d61565add3
EndSession,2020-01-16T16:20:31.979Z,5d098078-36e0-449f-815d-ece7764db96a,e876e06b-7d7e-4ca6-8388-e2d7b5daaa11
EndSession,2020-01-16T16:21:25.187Z,1edf9730-7cc5-495e-9deb-63d4416fe16a,2d47f5e8-c423-4861-8e6b-63f25bbc7a93
EndSession,2020-01-16T16:46:14.516Z,5d098078-36e0-449f-815d-ece7764db96a,07d1c1a6-a240-47ef-8e81-6c6755fec895
EndSession,2020-01-16T16:50:35.862Z,b8fd03eb-92f3-4ab0-b9d8-b581f59325e0,ad8c19ad-6ded-447c-9ab2-67e909ce9fd2
EndSession,2020-01-16T16:51:36.941Z,3920aeb4-4c8f-443c-94a8-e720d9d78ffa,329b40da-9374-4065-ad46-e0665e49c835
EndSession,2020-01-16T16:54:26.048Z,0619993b-9255-4176-84ef-929360a08a16,ad02f0e5-0844-440d-b645-67b3b57ce724
EndSession,2020-01-16T16:58:03.674Z,2f8a466a-700b-4513-8e97-c0a49786f7ad,5c9dc43f-a4bd-4c5f-a31f-a1fa4f2bfdf2
EndSession,2020-01-16T17:32:29.617Z,eb852a73-4dfb-48a8-b99d-c2195932c453,4a4752ef-0923-4829-90cb-44554f808229
EndSession,2020-01-16T17:33:01.325Z,151b777e-744f-43bd-b03b-4c28440b4c44,f652a3a6-fb48-4883-a19b-0f5704feb8e6
EndSession,2020-01-16T17:40:46.949Z,9c650f85-109a-479d-b6c3-1c44a0915c3d,8e1a6d6a-b890-49a1-8ab1-8b4346d82945
EndSession,2020-01-16T17:56:23.694Z,eb852a73-4dfb-48a8-b99d-c2195932c453,bcd7aff2-57b5-49a5-b210-99d4de966882
EndSession,2020-01-16T18:15:42.943Z,ae1569b4-03ac-4164-87ab-6571fe1acf29,de65923e-8ccd-4c60-8d1f-ca5afedffc90
EndSession,2020-01-16T18:19:30.439Z,5e028b0a-b0b6-4c1f-a806-0390553c73bc,56f4ddbc-6d3f-493c-9c22-9afeb3b384c6
EndSession,2020-01-16T18:22:52.655Z,b41def4e-c081-4903-a191-2c06ee3a7559,e0a140fd-2d2c-4f1f-84c0-76a497f5f55e
EndSession,2020-01-16T18:41:01.647Z,5d098078-36e0-449f-815d-ece7764db96a,30889aa6-71d9-4f3a-8f50-80856e1e63b9
EndSession,2020-01-16T18:48:46.479Z,b41def4e-c081-4903-a191-2c06ee3a7559,847acd9b-4c0b-4288-b150-1f761e931e16
EndSession,2020-01-16T18:49:50.817Z,eb852a73-4dfb-48a8-b99d-c2195932c453,d771f2af-a96a-45db-9269-5f10ffd374a2
EndSession,2020-01-16T18:56:28.637Z,78652e4a-f12b-4c0e-8252-422f37d94e99,cb41cee8-86fb-44c1-9eb7-627cbd823386
